Frequency [Hz]	FFT(A) [dB]
1552,7	33,10
1555,7	31,80
1558,6	31,50
1561,5	30,50
1564,5	25,90
1567,4	27,10
1570,3	29,50
1573,2	28,40
1576,2	26,20
1579,1	25,40
1582,0	24,40
1585,0	25,30
1587,9	25,80
1590,8	24,80
1593,8	25,30
1596,7	24,70
1599,6	22,90
1602,5	23,20
1605,5	25,00
1608,4	27,20
1611,3	29,50
1614,3	32,20
1617,2	32,40
1620,1	29,60
1623,0	26,20
1626,0	24,50
1628,9	24,40
1631,8	28,50
1634,8	31,40
1637,7	31,20
1640,6	31,40
1643,6	33,10
1646,5	33,50
1649,4	31,80
1652,3	29,90
1655,3	29,70
1658,2	30,10
1661,1	29,50
1664,1	27,80
1667,0	26,40
1669,9	27,10
1672,9	27,70
1675,8	27,40
1678,7	26,20
1681,6	27,30
1684,6	28,80
1687,5	28,00
1690,4	24,50
1693,4	24,20
1696,3	28,00
1699,2	30,20
1702,1	29,20
1705,1	27,30
1708,0	25,50
1710,9	25,10
1713,9	27,00
1716,8	28,40
1719,7	28,50
1722,7	28,50
1725,6	29,20
1728,5	29,00
1731,4	26,40
1734,4	23,30
1737,3	22,40
1740,2	22,90
1743,2	26,40
1746,1	25,40
1749,0	24,10
1752,0	29,60
1754,9	32,10
1757,8	31,30
1760,7	28,10
1763,7	25,00
1766,6	23,60
1769,5	24,40
1772,5	25,00
1775,4	24,90
1778,3	25,90
1781,3	27,00
1784,2	28,00
1787,1	27,90
1790,0	26,80
1793,0	26,50
1795,9	28,00
1798,8	29,90
1801,8	28,30
1804,7	25,40
1807,6	25,50
1810,5	27,30
1813,5	26,10
1816,4	25,10
1819,3	26,00
1822,3	26,00
1825,2	27,50
1828,1	31,00
1831,1	32,10
1834,0	30,80
1836,9	29,40
1839,8	30,30
1842,8	28,70
1845,7	25,30
1848,6	24,70
1851,6	26,00
1854,5	25,20
1857,4	25,20
1860,4	26,70
1863,3	26,00
1866,2	24,30
1869,1	25,30
1872,1	24,30
1875,0	22,30
1877,9	22,90
1880,9	23,70
1883,8	22,90
1886,7	22,90
1889,6	25,50
1892,6	27,70
1895,5	26,40
1898,4	22,60
1901,4	21,80
1904,3	23,30
1907,2	24,80
1910,2	26,00
1913,1	27,10
1916,0	27,30
1918,9	27,00
1921,9	26,20
1924,8	28,20
1927,7	28,80
1930,7	27,20
1933,6	24,00
1936,5	22,60
1939,5	25,00
1942,4	24,50
1945,3	23,60
1948,2	23,10
1951,2	22,60
1954,1	22,40
1957,0	22,90
1960,0	24,40
1962,9	24,90
1965,8	23,60
1968,8	23,20
1971,7	24,20
1974,6	25,80
1977,5	26,10
1980,5	24,70
1983,4	25,00
1986,3	25,80
1989,3	24,40
1992,2	23,40
1995,1	21,90
1998,0	23,20
2001,0	25,30
2003,9	25,60
2006,8	24,90
2009,8	25,10
2012,7	25,20
2015,6	26,30
2018,6	28,30
2021,5	29,10
2024,4	27,50
2027,3	25,10
2030,3	25,60
2033,2	25,10
2036,1	24,00
2039,1	24,60
2042,0	24,50
2044,9	23,80
2047,9	24,60
2050,8	24,30
2053,7	24,70
2056,6	24,90
2059,6	25,40
2062,5	25,60
2065,4	25,00
2068,4	26,50
2071,3	27,80
2074,2	28,50
2077,1	27,10
2080,1	24,60
2083,0	24,30
2085,9	26,70
2088,9	27,70
2091,8	27,60
2094,7	27,70
2097,7	28,30
2100,6	28,50
2103,5	28,60
2106,4	28,60
2109,4	28,60
2112,3	27,40
2115,2	25,00
2118,2	25,50
2121,1	27,30
2124,0	27,20
2127,0	26,80
2129,9	26,80
2132,8	25,60
2135,7	25,90
2138,7	26,50
2141,6	24,70
2144,5	23,00
2147,5	24,90
2150,4	27,10
2153,3	27,90
2156,3	27,10
2159,2	24,80
2162,1	22,60
2165,0	25,50
2168,0	27,00
2170,9	26,00
2173,8	25,20
2176,8	25,50
2179,7	25,20
2182,6	25,40
2185,5	26,00
2188,5	25,10
2191,4	25,10
2194,3	27,30
2197,3	28,50
2200,2	28,00
2203,1	26,10
2206,1	25,40
2209,0	25,80
2211,9	25,40
2214,8	24,40
2217,8	24,70
2220,7	24,20
2223,6	23,80
2226,6	25,60
2229,5	28,10
2232,4	28,00
2235,4	23,20
2238,3	22,30
2241,2	24,90
2244,1	24,90
2247,1	23,90
2250,0	26,20
2252,9	26,00
2255,9	22,90
2258,8	22,50
2261,7	22,80
2264,6	20,80
2267,6	22,90
2270,5	26,30
2273,4	27,30
2276,4	27,00
2279,3	25,60
2282,2	25,20
2285,2	24,50
2288,1	23,20
2291,0	23,70
2293,9	23,80
2296,9	23,40
2299,8	24,20
2302,7	24,80
2305,7	23,90
2308,6	23,60
2311,5	23,80
2314,5	23,20
2317,4	21,40
2320,3	20,70
2323,2	22,70
