Frequency [Hz]	FFT(A) [dB]
9187,5	3,70
9190,4	4,60
9193,4	4,80
9196,3	4,00
9199,2	4,30
9202,1	5,30
9205,1	5,80
9208,0	5,50
9210,9	6,10
9213,9	6,70
9216,8	5,70
9219,7	4,90
9222,7	4,60
9225,6	3,00
9228,5	0,40
9231,4	-0,90
9234,4	1,20
9237,3	3,70
9240,2	5,20
9243,2	6,30
9246,1	6,50
9249,0	5,80
9252,0	5,60
9254,9	6,50
9257,8	6,80
9260,7	7,10
9263,7	7,20
9266,6	6,00
9269,5	4,90
9272,5	5,00
9275,4	5,10
9278,3	5,60
9281,3	6,30
9284,2	7,00
9287,1	6,40
9290,0	4,40
9293,0	3,30
9295,9	3,70
9298,8	4,20
9301,8	4,40
9304,7	3,50
9307,6	2,20
9310,5	3,20
9313,5	4,70
9316,4	5,40
9319,3	7,30
9322,3	7,60
9325,2	6,60
9328,1	6,20
9331,1	6,60
9334,0	6,00
9336,9	5,10
9339,8	4,90
9342,8	4,10
9345,7	3,80
9348,6	4,50
9351,6	4,60
9354,5	3,70
9357,4	2,20
9360,4	1,40
9363,3	3,50
9366,2	5,30
9369,1	6,20
9372,1	6,40
9375,0	5,40
9377,9	5,00
9380,9	5,30
9383,8	4,20
9386,7	3,70
9389,6	6,30
9392,6	7,70
9395,5	8,10
9398,4	7,50
9401,4	4,80
9404,3	5,10
9407,2	8,20
9410,2	9,00
9413,1	8,00
9416,0	7,40
9418,9	9,00
9421,9	10,70
9424,8	10,80
9427,7	10,10
9430,7	10,20
9433,6	10,30
9436,5	8,50
9439,5	6,60
9442,4	8,20
9445,3	9,10
9448,2	7,60
9451,2	5,80
9454,1	5,70
9457,0	5,80
9460,0	5,50
9462,9	4,10
9465,8	4,60
9468,8	5,60
9471,7	7,50
9474,6	8,70
9477,5	8,20
9480,5	6,00
9483,4	4,70
9486,3	5,40
9489,3	6,80
9492,2	7,80
9495,1	9,10
9498,0	10,00
9501,0	10,20
9503,9	10,70
9506,8	11,40
9509,8	10,30
9512,7	7,70
9515,6	8,20
9518,6	9,70
9521,5	10,40
9524,4	10,30
9527,3	9,30
9530,3	8,00
9533,2	7,20
9536,1	7,10
9539,1	7,20
9542,0	7,10
9544,9	6,00
9547,9	4,30
9550,8	3,60
9553,7	6,00
9556,6	7,80
9559,6	7,30
9562,5	6,60
9565,4	6,10
9568,4	5,50
9571,3	7,10
9574,2	8,60
9577,1	8,60
9580,1	8,10
9583,0	7,60
9585,9	6,00
9588,9	5,40
9591,8	6,00
9594,7	5,70
9597,7	5,50
9600,6	5,90
9603,5	5,00
9606,4	4,10
9609,4	5,40
9612,3	5,20
9615,2	3,60
9618,2	4,70
9621,1	6,30
9624,0	6,00
9627,0	4,20
9629,9	3,00
9632,8	3,80
9635,7	4,30
9638,7	4,50
9641,6	4,40
9644,5	4,80
9647,5	6,10
9650,4	6,90
9653,3	5,80
9656,3	4,00
9659,2	1,70
9662,1	-0,60
9665,0	-0,90
9668,0	1,50
9670,9	4,30
9673,8	5,70
9676,8	5,70
9679,7	6,00
9682,6	6,00
9685,5	4,70
9688,5	2,30
9691,4	0,80
9694,3	1,60
9697,3	3,10
9700,2	3,50
9703,1	3,20
9706,1	2,80
9709,0	2,50
9711,9	2,60
9714,8	1,90
9717,8	1,60
9720,7	1,80
9723,6	1,10
9726,6	0,50
9729,5	1,40
9732,4	2,00
9735,4	0,40
9738,3	-0,90
9741,2	-0,80
9744,1	0,60
9747,1	2,60
9750,0	3,70
9752,9	3,10
9755,9	2,00
9758,8	3,20
9761,7	4,90
9764,6	4,40
9767,6	3,70
9770,5	4,40
9773,4	4,20
9776,4	4,20
9779,3	3,80
9782,2	1,90
9785,2	1,50
9788,1	3,50
9791,0	4,90
9793,9	5,30
9796,9	5,30
9799,8	5,30
9802,7	4,20
9805,7	2,70
9808,6	1,90
9811,5	0,60
9814,5	0,60
9817,4	2,40
9820,3	4,90
9823,2	5,80
9826,2	5,00
9829,1	3,90
9832,0	2,40
9835,0	1,30
9837,9	3,10
9840,8	4,80
9843,8	5,30
9846,7	4,90
9849,6	4,70
9852,5	6,80
9855,5	7,10
9858,4	5,10
9861,3	3,20
9864,3	1,70
9867,2	1,90
9870,1	3,40
9873,0	3,70
9876,0	2,10
9878,9	-1,30
9881,8	-1,30
9884,8	2,60
9887,7	3,80
9890,6	2,80
9893,6	1,10
9896,5	-0,60
9899,4	1,10
9902,3	4,50
9905,3	5,80
9908,2	5,90
9911,1	6,20
9914,1	4,70
9917,0	-0,90
9919,9	2,50
9922,9	5,40
9925,8	4,70
9928,7	3,00
9931,6	1,00
9934,6	0,40
9937,5	0,80
9940,4	3,00
9943,4	5,40
9946,3	4,30
9949,2	1,40
9952,1	2,50
9955,1	2,70
9958,0	1,50
9960,9	1,90
9963,9	2,70
9966,8	1,00
9969,7	-1,70
9972,7	-1,20
9975,6	0,90
9978,5	1,50
9981,4	0,80
9984,4	1,20
9987,3	0,80
9990,2	0,50
9993,2	1,20
9996,1	0,70
9999,0	-0,30
10002,0	-0,90
10004,9	-0,20
10007,8	2,00
10010,7	2,40
10013,7	0,30
10016,6	-2,30
10019,5	-1,90
10022,5	-1,30
10025,4	-2,80
10028,3	-3,90
10031,3	-3,70
10034,2	-3,10
10037,1	-1,60
10040,0	1,50
10043,0	3,30
10045,9	3,20
10048,8	1,90
10051,8	0,20
10054,7	0,00
10057,6	3,10
10060,5	3,60
10063,5	1,50
10066,4	1,60
10069,3	3,60
10072,3	4,20
10075,2	4,20
10078,1	4,60
10081,1	5,10
10084,0	4,80
10086,9	4,20
10089,8	5,20
10092,8	5,30
10095,7	5,30
10098,6	5,20
10101,6	4,10
10104,5	4,10
10107,4	5,20
10110,4	4,60
10113,3	2,50
10116,2	1,20
10119,1	2,20
10122,1	2,70
10125,0	1,20
10127,9	-1,30
10130,9	-2,00
10133,8	1,70
10136,7	4,00
10139,6	4,90
10142,6	5,50
10145,5	5,00
10148,4	3,00
10151,4	-0,50
10154,3	0,60
10157,2	4,70
10160,2	6,60
10163,1	6,90
10166,0	7,00
10168,9	5,80
10171,9	4,50
10174,8	3,70
10177,7	3,20
10180,7	1,80
10183,6	1,20
10186,5	3,80
10189,5	5,70
10192,4	6,60
10195,3	7,30
10198,2	7,50
10201,2	7,40
10204,1	7,00
10207,0	5,60
10210,0	4,60
10212,9	5,30
10215,8	5,80
10218,8	8,00
10221,7	9,90
10224,6	10,00
10227,5	8,70
10230,5	6,90
10233,4	6,90
10236,3	8,00
10239,3	7,70
10242,2	7,20
10245,1	6,60
10248,0	6,00
10251,0	5,00
10253,9	2,20
10256,8	-0,20
10259,8	-0,30
10262,7	1,60
10265,6	3,70
10268,6	3,40
10271,5	3,40
10274,4	5,40
10277,3	6,80
10280,3	7,60
10283,2	8,10
10286,1	7,60
10289,1	6,70
10292,0	7,70
10294,9	8,70
10297,9	9,30
10300,8	8,70
10303,7	6,40
10306,6	4,00
10309,6	3,90
10312,5	4,50
10315,4	4,70
10318,4	5,10
10321,3	5,80
10324,2	6,20
10327,1	5,70
10330,1	3,20
10333,0	3,10
10335,9	5,30
10338,9	5,40
10341,8	3,80
10344,7	4,20
10347,7	4,90
10350,6	5,30
10353,5	5,50
10356,4	5,20
10359,4	4,50
10362,3	3,40
10365,2	3,00
10368,2	3,80
10371,1	4,30
10374,0	4,40
10377,0	4,40
10379,9	4,70
10382,8	4,20
10385,7	4,00
10388,7	4,00
10391,6	3,40
10394,5	2,30
10397,5	1,30
10400,4	1,10
10403,3	2,00
10406,3	2,20
10409,2	0,90
10412,1	0,90
10415,0	1,90
10418,0	2,00
10420,9	2,20
10423,8	2,50
10426,8	2,80
10429,7	3,10
10432,6	3,20
10435,5	2,70
10438,5	2,00
10441,4	1,80
10444,3	0,90
10447,3	0,90
10450,2	2,10
10453,1	2,40
10456,1	1,70
10459,0	0,80
10461,9	2,10
10464,8	3,70
10467,8	3,20
10470,7	1,50
10473,6	0,80
10476,6	1,70
10479,5	2,50
10482,4	1,40
10485,4	0,70
10488,3	2,20
10491,2	3,90
10494,1	4,40
10497,1	3,80
10500,0	4,80
10502,9	6,10
10505,9	6,20
10508,8	5,40
10511,7	5,20
10514,6	5,60
10517,6	5,60
10520,5	5,30
10523,4	5,10
10526,4	4,80
10529,3	5,50
10532,2	6,90
10535,2	7,00
10538,1	5,30
10541,0	4,20
10543,9	5,70
10546,9	7,40
10549,8	7,10
10552,7	5,80
10555,7	5,30
10558,6	4,30
10561,5	3,20
10564,5	4,50
10567,4	7,00
10570,3	8,30
10573,2	8,00
10576,2	6,40
10579,1	5,20
10582,0	4,60
10585,0	3,40
10587,9	0,40
10590,8	-1,00
10593,8	1,70
10596,7	3,50
10599,6	4,10
10602,5	2,80
10605,5	1,30
10608,4	0,50
10611,3	-1,70
10614,3	-2,80
10617,2	0,60
10620,1	3,70
10623,0	4,30
10626,0	2,70
10628,9	0,50
10631,8	-1,10
10634,8	-1,30
10637,7	-0,20
10640,6	-0,30
10643,6	1,20
10646,5	4,60
10649,4	5,00
10652,3	3,20
10655,3	1,30
10658,2	0,00
10661,1	-0,60
10664,1	-0,40
10667,0	0,00
10669,9	1,00
10672,9	0,90
10675,8	-1,00
10678,7	-1,40
10681,6	-0,60
10684,6	-1,90
10687,5	-3,90
10690,4	-3,20
10693,4	-1,30
10696,3	1,30
10699,2	3,30
10702,1	3,60
10705,1	2,10
10708,0	-0,80
10710,9	0,40
10713,9	3,80
10716,8	3,80
10719,7	1,90
10722,7	0,90
10725,6	0,00
10728,5	-1,00
10731,4	-1,00
10734,4	-1,40
10737,3	-2,00
10740,2	-2,10
10743,2	-1,30
10746,1	-1,60
10749,0	-2,20
10752,0	-1,70
10754,9	-1,80
10757,8	-1,80
10760,7	-1,70
10763,7	-2,50
10766,6	-2,80
10769,5	-1,60
10772,5	0,00
10775,4	0,90
10778,3	1,80
10781,3	1,80
10784,2	0,80
10787,1	-0,70
10790,0	-1,00
10793,0	1,40
10795,9	2,10
10798,8	0,90
10801,8	-0,10
10804,7	0,90
10807,6	2,90
10810,5	3,60
10813,5	3,20
10816,4	1,70
10819,3	-0,90
10822,3	-0,70
10825,2	1,70
10828,1	1,80
10831,1	0,90
10834,0	2,30
10836,9	3,20
10839,8	2,70
10842,8	0,90
10845,7	-1,20
10848,6	-2,60
10851,6	-2,30
10854,5	0,60
10857,4	1,70
10860,4	1,00
10863,3	0,30
10866,2	0,10
10869,1	-0,10
10872,1	-1,40
10875,0	-3,20
10877,9	-3,40
10880,9	-2,10
10883,8	-2,70
10886,7	-3,10
10889,6	-0,40
10892,6	0,50
10895,5	-0,10
10898,4	0,60
10901,4	1,20
10904,3	0,80
10907,2	1,40
10910,2	2,50
10913,1	3,70
10916,0	3,60
10918,9	2,00
10921,9	1,40
10924,8	1,40
10927,7	0,70
10930,7	0,40
10933,6	1,00
10936,5	2,10
10939,5	1,80
10942,4	1,30
10945,3	2,00
10948,2	0,70
10951,2	-0,80
10954,1	0,70
10957,0	1,80
10960,0	2,10
10962,9	2,80
10965,8	3,60
10968,8	2,60
10971,7	0,20
10974,6	-0,80
10977,5	-1,80
10980,5	-3,00
10983,4	-1,40
10986,3	-0,60
10989,3	-0,50
10992,2	0,10
10995,1	0,20
10998,0	0,40
11001,0	-0,10
11003,9	-1,90
11006,8	-1,00
11009,8	0,40
11012,7	-0,70
11015,6	-3,90
11018,6	-3,90
11021,5	-0,70
11024,4	1,10
11027,3	0,80
11030,3	-0,10
11033,2	-1,90
11036,1	-2,20
11039,1	-2,10
11042,0	-2,40
11044,9	-2,90
11047,9	-2,50
11050,8	-2,20
11053,7	-2,50
11056,6	-3,70
11059,6	-5,50
11062,5	-4,50
11065,4	-1,80
11068,4	0,60
11071,3	1,70
11074,2	0,90
11077,1	-0,70
11080,1	-0,30
11083,0	0,90
11085,9	1,60
11088,9	1,00
11091,8	-0,50
11094,7	-0,90
11097,7	0,10
11100,6	-0,10
11103,5	-0,60
11106,4	-0,40
11109,4	0,50
11112,3	2,30
11115,2	3,50
11118,2	2,30
11121,1	-0,30
11124,0	1,50
11127,0	2,40
11129,9	1,20
11132,8	0,50
11135,7	0,20
11138,7	0,20
11141,6	1,10
11144,5	1,70
11147,5	1,60
11150,4	1,30
11153,3	0,80
11156,3	-0,20
11159,2	-1,70
11162,1	-3,30
11165,0	-2,10
11168,0	-0,40
11170,9	0,00
11173,8	-0,10
11176,8	-0,40
11179,7	-0,60
11182,6	-1,50
11185,5	-1,90
11188,5	-0,80
11191,4	-0,20
11194,3	-0,60
11197,3	-2,10
11200,2	-1,50
11203,1	-0,70
11206,1	-0,60
11209,0	0,00
11211,9	0,50
11214,8	0,80
11217,8	-0,30
11220,7	-3,00
11223,6	-4,30
11226,6	-3,40
11229,5	-2,50
11232,4	-1,30
11235,4	0,10
11238,3	0,90
11241,2	0,70
11244,1	-0,10
11247,1	-0,60
11250,0	-0,30
11252,9	-0,10
11255,9	-0,70
11258,8	-0,40
11261,7	-0,50
11264,6	-1,80
11267,6	-0,30
11270,5	1,50
11273,4	1,50
11276,4	1,10
11279,3	1,10
11282,2	2,00
11285,2	2,70
11288,1	2,20
11291,0	0,90
11293,9	-0,70
11296,9	-0,90
11299,8	-0,10
11302,7	0,70
11305,7	1,60
11308,6	2,20
11311,5	1,80
11314,5	1,30
11317,4	1,90
11320,3	2,00
11323,2	0,80
11326,2	0,30
11329,1	1,40
11332,0	2,60
11335,0	3,50
11337,9	4,30
11340,8	4,30
11343,8	3,40
11346,7	2,50
11349,6	2,10
11352,5	2,30
11355,5	2,20
11358,4	0,40
11361,3	-0,60
11364,3	1,80
11367,2	2,50
11370,1	1,30
11373,0	-0,60
11376,0	-3,20
11378,9	-5,10
11381,8	-3,60
11384,8	-1,40
11387,7	0,10
11390,6	0,00
11393,6	-1,50
11396,5	-1,00
11399,4	0,20
11402,3	-0,60
11405,3	-2,60
11408,2	-3,70
11411,1	-2,00
11414,1	0,00
11417,0	-0,30
11419,9	-2,50
11422,9	-3,90
11425,8	-2,10
11428,7	-1,80
11431,6	-2,20
11434,6	-2,20
11437,5	-2,10
11440,4	-1,80
11443,4	-1,50
11446,3	-2,80
11449,2	-1,50
11452,1	0,90
11455,1	1,90
11458,0	2,30
11460,9	2,00
11463,9	1,80
11466,8	0,00
11469,7	-3,20
11472,7	-2,10
11475,6	-0,40
11478,5	-0,60
11481,4	-0,70
11484,4	-0,90
11487,3	-1,40
11490,2	-1,50
11493,2	-1,50
11496,1	-1,00
11499,0	-1,00
11502,0	-1,20
11504,9	-2,30
11507,8	-4,10
11510,7	-5,10
11513,7	-6,20
11516,6	-5,80
11519,5	-3,60
11522,5	-2,70
11525,4	-2,10
11528,3	-0,90
11531,3	0,10
11534,2	-0,90
11537,1	-2,00
11540,0	-2,00
11543,0	-2,30
11545,9	-2,60
11548,8	-2,10
11551,8	-0,20
11554,7	1,20
11557,6	0,50
11560,5	-1,50
11563,5	-2,40
11566,4	-2,60
11569,3	-3,00
11572,3	-2,90
11575,2	-1,60
11578,1	-1,00
11581,1	-1,30
11584,0	-1,30
11586,9	-2,20
11589,8	-2,70
11592,8	-2,20
11595,7	-2,40
11598,6	-3,40
11601,6	-2,80
11604,5	-3,70
11607,4	-6,20
11610,4	-6,20
11613,3	-5,20
11616,2	-4,00
11619,1	-4,00
11622,1	-4,20
11625,0	-2,40
11627,9	-1,40
11630,9	-2,00
11633,8	-3,70
11636,7	-4,70
11639,6	-5,30
11642,6	-4,10
11645,5	-2,80
11648,4	-2,30
11651,4	-1,70
11654,3	-1,20
11657,2	-1,30
11660,2	-2,40
11663,1	-4,20
11666,0	-5,10
11668,9	-3,60
11671,9	-3,10
11674,8	-3,70
11677,7	-3,20
11680,7	-3,10
11683,6	-3,20
11686,5	-2,40
11689,5	-2,00
11692,4	-3,00
11695,3	-3,70
11698,2	-2,90
11701,2	-3,70
11704,1	-5,70
11707,0	-4,30
11710,0	-2,60
11712,9	-3,10
11715,8	-5,20
11718,8	-7,00
11721,7	-6,50
11724,6	-5,90
11727,5	-5,70
11730,5	-5,60
11733,4	-5,70
11736,3	-5,00
11739,3	-3,70
11742,2	-2,90
11745,1	-2,70
11748,0	-3,70
11751,0	-5,10
11753,9	-4,80
11756,8	-3,40
11759,8	-3,50
11762,7	-4,50
11765,6	-3,80
11768,6	-3,60
11771,5	-4,20
11774,4	-4,50
11777,3	-4,10
11780,3	-3,10
11783,2	-2,50
11786,1	-2,60
11789,1	-3,30
11792,0	-5,60
11794,9	-6,90
11797,9	-6,80
11800,8	-5,60
11803,7	-3,80
11806,6	-2,70
11809,6	-2,90
11812,5	-3,10
11815,4	-2,90
11818,4	-3,30
11821,3	-4,40
11824,2	-4,00
11827,1	-3,10
11830,1	-2,60
11833,0	-3,50
11835,9	-5,60
11838,9	-6,40
11841,8	-7,90
11844,7	-7,40
11847,7	-3,90
11850,6	-2,10
11853,5	-3,00
11856,4	-5,20
11859,4	-6,10
11862,3	-5,40
11865,2	-4,60
11868,2	-3,30
11871,1	-3,80
11874,0	-6,80
11877,0	-8,20
11879,9	-6,10
11882,8	-4,40
11885,7	-5,20
11888,7	-6,40
11891,6	-6,20
11894,5	-5,90
11897,5	-5,50
11900,4	-5,10
11903,3	-4,60
11906,3	-4,80
11909,2	-4,70
11912,1	-4,70
11915,0	-5,30
11918,0	-5,70
11920,9	-4,80
11923,8	-3,80
11926,8	-3,80
11929,7	-5,20
11932,6	-6,20
11935,5	-4,90
11938,5	-3,10
11941,4	-2,10
11944,3	-2,20
11947,3	-3,20
11950,2	-4,50
11953,1	-5,30
11956,1	-4,90
11959,0	-4,50
11961,9	-4,10
11964,8	-3,50
11967,8	-2,40
11970,7	-0,80
11973,6	0,10
11976,6	0,00
11979,5	-1,40
11982,4	-3,40
11985,4	-4,20
11988,3	-4,00
11991,2	-3,50
11994,1	-3,40
11997,1	-4,20
12000,0	-4,80
12002,9	-3,50
12005,9	-2,90
12008,8	-2,50
12011,7	-1,90
12014,6	-1,20
12017,6	-1,30
12020,5	-2,00
12023,4	-1,70
12026,4	-0,20
12029,3	0,40
12032,2	-0,90
12035,2	-3,70
12038,1	-5,70
12041,0	-3,60
12043,9	-2,40
12046,9	-2,00
12049,8	-2,30
12052,7	-2,90
12055,7	-3,00
12058,6	-2,90
12061,5	-2,80
12064,5	-2,90
12067,4	-3,20
12070,3	-2,60
12073,2	-2,30
12076,2	-2,00
12079,1	-1,50
12082,0	-1,00
12085,0	-1,50
12087,9	-2,40
12090,8	-2,70
12093,8	-3,10
12096,7	-4,00
12099,6	-3,60
12102,5	-2,70
12105,5	-2,20
12108,4	-2,30
12111,3	-2,70
12114,3	-2,50
12117,2	-1,50
12120,1	-2,10
12123,0	-4,90
12126,0	-6,10
12128,9	-4,90
12131,8	-5,50
12134,8	-6,60
12137,7	-4,70
12140,6	-2,70
12143,6	-2,00
12146,5	-1,10
12149,4	-0,40
12152,3	-0,90
12155,3	-1,80
12158,2	-2,80
12161,1	-4,20
12164,1	-4,90
12167,0	-4,60
12169,9	-4,30
12172,9	-3,30
12175,8	-2,90
12178,7	-3,30
12181,6	-2,20
12184,6	-2,30
12187,5	-4,70
12190,4	-3,90
12193,4	-2,30
12196,3	-2,30
12199,2	-4,00
12202,1	-5,80
12205,1	-5,30
12208,0	-4,10
12210,9	-3,30
12213,9	-3,10
12216,8	-3,00
12219,7	-2,70
12222,7	-2,90
12225,6	-1,60
12228,5	0,20
12231,4	0,40
12234,4	-1,40
12237,3	-3,20
12240,2	-3,70
12243,2	-4,10
12246,1	-3,90
12249,0	-3,40
12252,0	-3,30
12254,9	-4,00
12257,8	-5,40
12260,7	-4,00
12263,7	-3,30
12266,6	-3,90
12269,5	-4,20
12272,5	-3,80
12275,4	-3,40
12278,3	-4,30
12281,3	-5,30
12284,2	-6,00
12287,1	-6,40
12290,0	-7,00
12293,0	-6,60
12295,9	-4,70
12298,8	-4,70
12301,8	-6,00
12304,7	-6,60
12307,6	-5,90
12310,5	-5,40
12313,5	-5,60
12316,4	-6,20
12319,3	-7,10
12322,3	-6,50
12325,2	-4,50
12328,1	-4,00
12331,1	-4,40
12334,0	-3,90
12336,9	-3,40
12339,8	-3,60
12342,8	-4,50
12345,7	-5,40
12348,6	-5,80
12351,6	-5,40
12354,5	-4,30
12357,4	-4,10
12360,4	-4,50
12363,3	-5,60
12366,2	-7,00
12369,1	-8,40
12372,1	-7,50
12375,0	-5,80
12377,9	-5,00
12380,9	-6,10
12383,8	-7,50
12386,7	-5,60
12389,6	-4,70
12392,6	-5,50
12395,5	-6,70
12398,4	-7,50
12401,4	-7,60
12404,3	-6,00
12407,2	-4,60
12410,2	-4,50
12413,1	-5,10
12416,0	-4,80
12418,9	-3,70
12421,9	-2,90
12424,8	-3,60
12427,7	-4,40
12430,7	-4,20
12433,6	-4,40
12436,5	-6,00
12439,5	-6,90
12442,4	-7,80
12445,3	-9,30
12448,2	-7,80
12451,2	-6,00
12454,1	-5,40
12457,0	-5,60
12460,0	-5,10
12462,9	-5,10
12465,8	-7,00
12468,8	-7,50
12471,7	-5,10
12474,6	-3,80
12477,5	-4,40
12480,5	-5,90
12483,4	-7,10
12486,3	-6,90
12489,3	-6,90
12492,2	-6,80
12495,1	-7,00
12498,0	-8,00
12501,0	-5,40
12503,9	-3,20
12506,8	-4,40
12509,8	-6,40
12512,7	-5,90
12515,6	-3,90
12518,6	-3,10
12521,5	-2,80
12524,4	-3,00
12527,3	-3,70
12530,3	-4,50
12533,2	-4,50
12536,1	-4,30
12539,1	-3,80
12542,0	-4,10
12544,9	-4,40
12547,9	-3,40
12550,8	-2,50
12553,7	-3,00
12556,6	-5,50
12559,6	-8,50
12562,5	-8,60
12565,4	-6,90
12568,4	-6,80
12571,3	-8,00
12574,2	-7,70
12577,1	-7,30
12580,1	-6,90
12583,0	-5,70
12585,9	-5,50
12588,9	-5,60
12591,8	-6,60
12594,7	-6,60
12597,7	-6,00
12600,6	-6,80
12603,5	-7,00
12606,4	-5,90
12609,4	-5,20
12612,3	-6,20
12615,2	-7,30
12618,2	-6,30
12621,1	-5,60
12624,0	-5,80
12627,0	-5,80
12629,9	-3,90
12632,8	-3,10
12635,7	-4,20
12638,7	-5,70
12641,6	-5,30
12644,5	-4,00
12647,5	-3,00
12650,4	-2,30
12653,3	-1,90
12656,3	-2,10
12659,2	-2,80
12662,1	-4,30
12665,0	-5,10
12668,0	-4,50
12670,9	-4,10
12673,8	-4,20
12676,8	-5,10
12679,7	-6,30
12682,6	-7,50
12685,5	-6,30
12688,5	-5,00
12691,4	-4,60
12694,3	-4,20
12697,3	-3,40
12700,2	-2,40
12703,1	-2,10
12706,1	-2,90
12709,0	-4,30
12711,9	-5,40
12714,8	-5,60
12717,8	-5,20
12720,7	-4,20
12723,6	-3,70
12726,6	-3,60
12729,5	-3,50
12732,4	-3,70
12735,4	-4,30
12738,3	-4,70
12741,2	-4,60
12744,1	-4,10
12747,1	-3,80
12750,0	-4,40
12752,9	-5,70
12755,9	-6,70
12758,8	-7,80
12761,7	-9,20
12764,6	-8,40
12767,6	-6,90
12770,5	-5,70
12773,4	-4,10
12776,4	-3,60
12779,3	-5,10
12782,2	-7,40
12785,2	-6,10
12788,1	-5,30
12791,0	-5,20
12793,9	-5,50
12796,9	-6,90
12799,8	-8,50
12802,7	-7,50
12805,7	-4,40
12808,6	-3,00
12811,5	-3,60
12814,5	-4,90
12817,4	-6,00
12820,3	-5,70
12823,2	-5,40
12826,2	-5,20
12829,1	-5,00
12832,0	-5,00
12835,0	-4,70
12837,9	-4,70
12840,8	-6,30
12843,8	-7,80
12846,7	-5,20
12849,6	-3,60
12852,5	-4,40
12855,5	-6,90
12858,4	-8,30
12861,3	-6,80
12864,3	-5,80
12867,2	-5,80
12870,1	-5,60
12873,0	-5,80
12876,0	-7,90
12878,9	-9,90
12881,8	-8,10
12884,8	-6,00
12887,7	-5,30
12890,6	-5,60
12893,6	-6,10
12896,5	-6,90
12899,4	-7,80
12902,3	-8,40
12905,3	-6,90
12908,2	-5,40
12911,1	-5,50
12914,1	-7,00
12917,0	-8,30
12919,9	-9,10
12922,9	-10,00
12925,8	-9,90
12928,7	-9,20
12931,6	-8,60
12934,6	-8,30
12937,5	-8,10
12940,4	-7,60
12943,4	-7,20
12946,3	-7,30
12949,2	-6,90
12952,1	-6,30
12955,1	-6,10
12958,0	-7,00
12960,9	-8,20
12963,9	-9,00
12966,8	-10,20
12969,7	-10,60
12972,7	-9,80
12975,6	-9,10
12978,5	-8,60
12981,4	-8,40
12984,4	-8,40
12987,3	-7,90
12990,2	-7,50
12993,2	-7,80
12996,1	-8,30
12999,0	-7,40
13002,0	-6,40
13004,9	-6,90
13007,8	-8,40
13010,7	-8,30
13013,7	-7,20
13016,6	-7,10
13019,5	-7,10
13022,5	-6,50
13025,4	-6,10
13028,3	-6,80
13031,3	-7,80
13034,2	-7,40
13037,1	-7,40
13040,0	-7,10
13043,0	-5,50
13045,9	-5,10
13048,8	-5,20
13051,8	-5,80
13054,7	-7,20
13057,6	-7,80
13060,5	-7,40
13063,5	-7,50
13066,4	-7,80
13069,3	-7,20
13072,3	-5,60
13075,2	-5,00
13078,1	-5,00
13081,1	-5,30
13084,0	-6,70
13086,9	-8,30
13089,8	-8,90
13092,8	-8,50
13095,7	-7,90
13098,6	-8,30
13101,6	-9,70
13104,5	-9,40
13107,4	-8,70
13110,4	-9,00
13113,3	-8,40
13116,2	-7,40
13119,1	-7,00
13122,1	-6,80
13125,0	-6,70
13127,9	-7,60
13130,9	-9,40
13133,8	-8,60
13136,7	-7,60
13139,6	-7,60
13142,6	-7,90
13145,5	-7,70
13148,4	-7,50
13151,4	-7,10
13154,3	-8,60
13157,2	-9,10
13160,2	-7,50
13163,1	-6,30
13166,0	-5,10
13168,9	-5,00
13171,9	-6,30
13174,8	-9,00
13177,7	-9,60
13180,7	-8,30
13183,6	-8,10
13186,5	-8,10
13189,5	-7,10
13192,4	-6,80
13195,3	-7,60
13198,2	-8,30
13201,2	-9,60
13204,1	-10,60
13207,0	-10,90
13210,0	-10,10
13212,9	-9,00
13215,8	-8,40
13218,8	-8,60
13221,7	-9,20
13224,6	-8,30
13227,5	-7,10
13230,5	-6,20
13233,4	-5,50
13236,3	-5,50
13239,3	-6,40
13242,2	-7,20
13245,1	-7,50
13248,0	-7,80
13251,0	-8,10
13253,9	-8,00
13256,8	-7,90
13259,8	-6,90
13262,7	-6,60
13265,6	-6,80
13268,6	-7,00
13271,5	-6,70
13274,4	-6,30
13277,3	-6,20
13280,3	-6,50
13283,2	-6,80
13286,1	-6,90
13289,1	-7,30
13292,0	-7,70
13294,9	-7,30
13297,9	-6,70
13300,8	-6,70
13303,7	-7,30
13306,6	-7,50
13309,6	-7,80
13312,5	-7,40
13315,4	-6,50
13318,4	-6,10
13321,3	-6,10
13324,2	-6,10
13327,1	-6,40
13330,1	-6,30
13333,0	-5,50
13335,9	-5,40
13338,9	-5,80
13341,8	-5,80
13344,7	-5,80
13347,7	-6,10
13350,6	-6,90
13353,5	-7,60
13356,4	-7,60
13359,4	-8,40
13362,3	-8,30
13365,2	-6,80
13368,2	-6,60
13371,1	-7,50
13374,0	-8,30
13377,0	-8,90
13379,9	-9,70
13382,8	-10,20
13385,7	-9,90
13388,7	-9,60
13391,6	-10,10
13394,5	-9,20
13397,5	-8,00
13400,4	-6,70
13403,3	-6,00
13406,3	-6,50
13409,2	-7,70
13412,1	-8,40
13415,0	-8,10
13418,0	-7,80
13420,9	-7,90
13423,8	-8,00
13426,8	-7,30
13429,7	-7,40
13432,6	-7,20
13435,5	-5,80
13438,5	-4,80
13441,4	-5,30
13444,3	-5,90
13447,3	-5,80
13450,2	-6,40
13453,1	-8,10
13456,1	-9,50
13459,0	-8,50
